Jama,Grupa,Masa_[g]
,,
,,
,,
,,
,,
,,
,,
66,2A,20
66,3A,12
66,3B,1379
66,3C,1132
66,?,184
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
68,1,67
68,2A,109
68,2B,35
68,3A,218
68,3B,43
68,3C,577
68,?,102
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
69,2A,14
69,3A,618
69,3B,75
69,3C,249
69,?,161
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
47,3A,1313
47,3C,14
47,?,181
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
46/47?,3A,179
46/47?,3C,51
46/47?,?,11
,,
,,
,,
46/47?,2A,171
46/47?,3A,93
46/47?,3B,26
46/47?,3C,2
46/47?,?,75
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
70,2A,15
70,2B,6
70,3A,220
70,3B,464
70,3C,328
70,?,206
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
73,2B,6
73,3A,75
73,3B,18
73,?,24
,,
,,
,,
74,2B,4
74,3A,24
74,3B,123
74,3C,164
74,?,79
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
75,2A,5
75,3A,16
75,3B,20
75,3C,165
75,?,23
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
76,3A,21
76,3B,109
76,?,12
,,
,,
,,
78,3A,455
78,3B,305
78,3C,240
78,?,210
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
79,?,36
,,
83,3A,75
83,3B,213
83,3C,170
83,?,20
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
84,3B,68
84,3C,43
